date,eccentricity,semi_major_axis_km,orbital_period_sec,mean_anomaly_deg,semi_major_axis_au,orbital_period_year
A.D. 2022-Jun-19 00:00:00.0000,0.01724546894407215,149527697.9362826,31535946.47441014,163.0396348635398,0.9995309240473208,0.9993138411796252
A.D. 2022-Jun-29 00:00:00.0000,0.01589892560946703,149721753.0275359,31597356.79650736,173.2867901470544,1.000828102211323,1.0012598168589297
A.D. 2022-Jul-09 00:00:00.0000,0.01714502101029348,149534317.5412807,31538040.64648166,184.6320486688645,0.9995751733736454,0.9993802014881252
A.D. 2022-Jul-19 00:00:00.0000,0.01697443222702521,149543558.623237,31540964.22408446,191.8803372866704,0.9996369461910866,0.9994728440719338
A.D. 2022-Jul-29 00:00:00.0000,0.01596155926617645,149723294.118946,31597844.6468644,204.4503375527852,1.0008384037711173,1.0012752759038837
A.D. 2022-Aug-08 00:00:00.0000,0.01732615027366942,149518149.2354282,31532925.73796075,213.1119435730776,0.9994670949245551,0.9992181198177539
A.D. 2022-Aug-18 00:00:00.0000,0.01665507476126667,149558770.9420155,31545777.10344316,221.4047323126312,0.9997386342612931,0.9996253550156907
A.D. 2022-Aug-28 00:00:00.0000,0.01624443081028166,149726935.7759295,31598997.46558896,235.2525326945312,1.000862746744493,1.0013118065248612
A.D. 2022-Sep-07 00:00:00.0000,0.01725691794800362,149503734.0405406,31528365.66633015,241.3297750337254,0.9993707352984444,0.9990736198674852
A.D. 2022-Sep-17 00:00:00.0000,0.01641029871800392,149570980.587519,31549640.17293073,251.491509230391,0.9998202507003932,0.9997477683008444
A.D. 2022-Sep-27 00:00:00.0000,0.01667651715294759,149729402.6014462,31599778.38253529,265.2828713544873,1.0008792364545749,1.001336552289632
A.D. 2022-Oct-07 00:00:00.0000,0.01693541221707985,149491705.5048411,31524560.75356773,269.8673513497948,0.9992903295036077,0.9989530494577449
A.D. 2022-Oct-17 00:00:00.0000,0.01630343654387857,149578648.0219681,31552066.19063608,281.8436565345536,0.9998715043339725,0.99982464416293
A.D. 2022-Oct-27 00:00:00.0000,0.0171191707517741,149727812.7371753,31599275.08233791,294.3546729712373,1.0008686088683434,1.0013206036687805
A.D. 2022-Nov-06 00:00:00.0000,0.0164867133177491,149482317.544054,31521591.22399322,299.2007275381721,0.999227574861826,0.9988589507438215
A.D. 2022-Nov-16 00:00:00.0000,0.0163435901567118,149583863.489475,31553716.42827971,312.1857548173406,0.9999063675809058,0.9998769370382954
A.D. 2022-Nov-26 00:00:00.0000,0.01741039851275813,149722353.6754482,31597546.9382708,322.6574420587206,1.0008321172946228,1.0012658420878267
A.D. 2022-Dec-06 00:00:00.0000,0.01609093860346002,149476531.7924223,31519761.16473154,329.4699265846637,0.999188899500976,0.9988009596652324
A.D. 2022-Dec-16 00:00:00.0000,0.01651599733339427,149590590.7104916,31555845.0456913,342.2836675854425,0.999951336275882,0.9999443888537564
A.D. 2022-Dec-26 00:00:00.0000,0.01744190032208492,149713950.6443194,31594886.90015511,350.6673642661686,1.0007759465009511,1.001181550566428
A.D. 2023-Jan-05 00:00:00.0000,0.01589087738394082,149474186.9688021,31519019.49656048,0.4063288860535379,0.9991732253232004,0.9987774576190991
A.D. 2023-Jan-15 00:00:00.0000,0.0167728585406551,149601456.6140315,31559283.32004962,11.90750580889277,1.0000239703547567,1.0000533411935515
A.D. 2023-Jan-25 00:00:00.0000,0.01721694945345421,149703446.172069,31591561.74118102,18.95201265203936,1.0007057284410201,1.0010761826368615
A.D. 2023-Feb-04 00:00:00.0000,0.01594144358512384,149473644.4367477,31518847.89439397,31.5053643217493,0.9991695987204162,0.9987720198745775
A.D. 2023-Feb-14 00:00:00.0000,0.01701636159830007,149616738.5990649,31564119.17682539,40.93122210404663,1.0001261241151136,1.000206580247718
A.D. 2023-Feb-24 00:00:00.0000,0.01684859518681806,149692212.2892684,31588005.81859054,47.92725079491647,1.000630634572718,1.0009635022495544
A.D. 2023-Mar-06 00:00:00.0000,0.01621911837893865,149473273.0877332,31518730.43737457,62.26956257319162,0.9991671164055761,0.9987682978862324
A.D. 2023-Mar-16 00:00:00.0000,0.01712073487456287,149635140.4730789,31569942.62421536,69.47008145382546,1.0002491330451733,1.000391114159992
A.D. 2023-Mar-26 00:00:00.0000,0.01648573763816919,149681434.4131274,31584594.3637043,77.691652390507,1.0005585889206603,1.0008553997675458
A.D. 2023-Apr-05 00:00:00.0000,0.01664457525011298,149471582.7489574,31518195.78813097,92.35577968902018,0.999155817188763,0.9987513558740515
A.D. 2023-Apr-15 00:00:00.0000,0.01699739835407573,149653905.213954,31575881.27301281,97.9451165795577,1.0003745675903795,1.000579298584582
A.D. 2023-Apr-25 00:00:00.0000,0.01624255284264692,149671394.9033148,31581416.72985992,108.0686648164874,1.0004914789426533,1.0007547066272442
A.D. 2023-May-05 00:00:00.0000,0.01710618803090162,149467798.6319933,31516998.89388898,121.6240624672992,0.9991305219292356,0.9987134285842073
A.D. 2023-May-15 00:00:00.0000,0.01667788926210428,149669640.0601506,31580861.31039397,126.9341731217614,1.0004797485406363,1.0007371064464334
A.D. 2023-May-25 00:00:00.0000,0.01617922626303948,149661325.0078508,31578229.58562209,138.7343229594731,1.000424165849112,1.00065371212076
A.D. 2023-Jun-04 00:00:00.0000,0.01747419689584521,149462881.4613847,31515443.64398773,150.1211526385274,0.9990976526739075,0.9986641456887637
A.D. 2023-Jun-14 00:00:00.0000,0.01631566805203347,149680903.6505741,31584426.36786882,156.7915718282681,1.0005550409921316,1.0008500763007586
A.D. 2023-Jun-24 00:00:00.0000,0.016300925693025,149650767.0256962,31574888.07600713,169.3011292987363,1.0003535900975642,1.0005478260706495
A.D. 2023-Jul-04 00:00:00.0000,0.01761624659674719,149459609.5363072,31514408.78230458,178.1188848915178,0.9990757812056692,0.9986313529008727
A.D. 2023-Jul-14 00:00:00.0000,0.01608155220607543,149688377.5393266,31586792.01468745,187.423698628776,1.00060500085264,1.0009250391248843
A.D. 2023-Jul-24 00:00:00.0000,0.01655820692042131,149639611.0669534,31571357.44007179,199.4414313168185,1.0002790171194156,1.000435946969091
A.D. 2023-Aug-03 00:00:00.0000,0.01746063230176196,149461206.6771466,31514913.93299966,206.1510052202919,0.9990864574327569,0.9986473601604576
A.D. 2023-Aug-13 00:00:00.0000,0.01606986981043513,149694510.0076609,31588733.11715231,218.4092830983609,1.000645993871495,1.000986548950247
A.D. 2023-Aug-23 00:00:00.0000,0.01685666883633415,149628778.4297279,31567929.2548153,228.997086399846,1.000206605412118,1.0003273143336406
A.D. 2023-Sep-02 00:00:00.0000,0.01706222945968183,149470176.5551831,31517751.0154293,234.8300099445984,0.999146417363968,0.9987372618776238
A.D. 2023-Sep-12 00:00:00.0000,0.01627209872028453,149703173.943822,31591475.56970219,249.2468434560332,1.0007039087075857,1.0010734520274733
